"Name","Category","geometry"
"Taco Bell","Fast Food",c(-75.5344032, 40.1315946)
"Dairy Queen","Fast Food",c(-75.5480937, 40.1309749)
"Burger King","Fast Food",c(-74.551684, 40.5683396)
"Dunkin'","Fast Food",c(-74.5516097, 40.5758331)
"Istanbul Bay","Fast Food",c(-73.9937419, 40.6017273)
"Dunkin'","Fast Food",c(-75.1623684, 39.95241)
"Così","Fast Food",c(-75.1818561, 39.9560261)
"Papa John's","Fast Food",c(-74.6994655, 40.17449)
"Dunkin'","Fast Food",c(-74.47385, 40.7985425)
"Dunkin'","Fast Food",c(-75.1607302, 39.9316021)
"Wawa","Fast Food",c(-75.008189, 39.9869282)
"Domino's","Fast Food",c(-75.0119548, 39.9888435)
"Nitro Pizza","Fast Food",c(-74.4424425, 40.1352875)
"Shore Eats & Treats","Fast Food",c(-74.4377649, 40.137608)
"Garden State Grill","Fast Food",c(-74.4376891, 40.1374646)
"Totally Kickin' Chicken","Fast Food",c(-74.4379281, 40.1379259)
"Boardwalk Steak & Fries","Fast Food",c(-74.4383402, 40.1372594)
"Johnny Rockets Express","Fast Food",c(-74.4424394, 40.1353856)
"Totally Kickin' Chicken","Fast Food",c(-74.4359976, 40.1382279)
"Dunkin'","Fast Food",c(-75.1562858, 39.9144217)
"Dunkin' Donuts","Fast Food",c(-75.0105986, 39.9880254)
"Rita's Italian Ice","Fast Food",c(-74.2217742, 40.8793731)
"Subway","Fast Food",c(-74.1783303, 39.6468198)
"Custard Castle","Fast Food",c(-74.6521044, 39.2599469)
"Carmen's Deli","Fast Food",c(-75.0773823, 39.8662879)
"Dunkin'","Fast Food",c(-75.0421917, 39.8699441)
"Dunkin' Donuts","Fast Food",c(-75.0499036, 39.9108439)
"Panera Bread","Fast Food",c(-74.9112896, 39.969377)
"Punjabi Deli & Grocery","Fast Food",c(-73.9866876, 40.7226539)
"Richard's Drive In","Fast Food",c(-75.2197678, 40.714403)
"Pret A Manger","Fast Food",c(-73.9784255, 40.7506137)
"Chipotle","Fast Food",c(-73.9827861, 40.7453859)
"Pret A Manger","Fast Food",c(-73.9822961, 40.7462142)
"Dunkin'","Fast Food",c(-73.9826174, 40.7448937)
"Dunkin'","Fast Food",c(-73.9972215, 40.7511441)
"McDonald's","Fast Food",c(-74.4952355, 40.5807173)
"Dunkin'","Fast Food",c(-74.4760355, 40.5858011)
"Hoagie Haven","Fast Food",c(-74.6518832, 40.3521568)
"George's Roasters and Ribs","Fast Food",c(-74.6517479, 40.3522007)
"Bagels On the Hill","Fast Food",c(-74.6687914, 40.9098116)
"Avenue Deli","Fast Food",c(-74.4052973, 40.7062602)
"Panera Bread","Fast Food",c(-75.5460908, 39.7924974)
"Five Guys","Fast Food",c(-75.5458818, 39.7910793)
"Dunkin'","Fast Food",c(-74.726299, 40.8870545)
"McDonald's","Fast Food",c(-73.9256662, 40.8063321)
"Chipotle","Fast Food",c(-73.9828817, 40.7660008)
"Dunkin'","Fast Food",c(-73.9833679, 40.7671142)
"McDonald's","Fast Food",c(-73.9804635, 40.7514749)
"Fresh Kitchen","Fast Food",c(-73.9804514, 40.7509562)
"Dunkin' Donuts","Fast Food",c(-74.3398893, 39.6036545)
"food exchange","Fast Food",c(-73.9792587, 40.7525447)
"Blake & Todd","Fast Food",c(-73.9772122, 40.7543276)
"Pret A Manger","Fast Food",c(-73.9751098, 40.7524627)
"Pret A Manger","Fast Food",c(-73.9767577, 40.7509775)
"Delmonico Gourmet Market","Fast Food",c(-73.9762726, 40.7508482)
"Subway","Fast Food",c(-73.9772877, 40.7508618)
"Previti pizza","Fast Food",c(-73.9769024, 40.7510468)
"4food","Fast Food",c(-73.9803061, 40.7517125)
"Chipotle","Fast Food",c(-73.9806977, 40.7511837)
"Burger King","Fast Food",c(-73.9831807, 40.7499023)
"Subway","Fast Food",c(-73.9806791, 40.7523865)
"Subway","Fast Food",c(-73.9839912, 40.7467357)
"Hill Country Chicken","Fast Food",c(-73.9892796, 40.7432333)
"Pret A Manger","Fast Food",c(-73.9760656, 40.7569369)
"Jersey Mike's Subs","Fast Food",c(-74.2302672, 40.155212)
"Wendy's","Fast Food",c(-74.6122349, 39.435195)
"McDonald's","Fast Food",c(-75.1560736, 39.9852356)
"KFC","Fast Food",c(-74.5357937, 39.3931329)
"Taco Bell","Fast Food",c(-74.5375989, 39.3938377)
"Dunkin'","Fast Food",c(-75.1589597, 39.9787144)
"Burger King","Fast Food",c(-75.3021064, 39.9002796)
"Wendy's","Fast Food",c(-75.1580982, 39.9790933)
"Qdoba","Fast Food",c(-75.1585024, 39.9785422)
"Master Wok","Fast Food",c(-75.1559382, 39.9824649)
"Maxi's Pizza","Fast Food",c(-75.1559955, 39.9822686)
"Domino's","Fast Food",c(-74.7995467, 40.208268)
"Dominicks Pizza","Fast Food",c(-74.7984095, 40.2099067)
"Sports Pizza","Fast Food",c(-74.8202105, 40.2009425)
"Burger King","Fast Food",c(-75.0747993, 40.6594398)
"Smashburger","Fast Food",c(-74.4048849, 40.7056356)
"McDonald's","Fast Food",c(-74.4235036, 40.6962229)
"McDonald's","Fast Food",c(-75.2133181, 40.1105975)
"Subway","Fast Food",c(-75.2122857, 40.1116157)
"Nora's Kitchen","Fast Food",c(-75.1473173, 39.9413018)
"Dunkin'","Fast Food",c(-73.9596246, 40.6553984)
"Papa Luigi's pizza","Fast Food",c(-75.1703001, 39.5960355)
"Dunkin' Donuts","Fast Food",c(-74.875839, 39.0140681)
"Pete's Pizza","Fast Food",c(-75.0935555, 39.8800447)
"Subway","Fast Food",c(-74.3642815, 40.5956978)
"Domino's","Fast Food",c(-75.5413348, 40.1356123)
"Chipotle","Fast Food",c(-74.0458387, 40.7875166)
"Endless Summer","Fast Food",c(-73.9602181, 40.7154566)
"Subway","Fast Food",c(-73.955334, 40.8048764)
"Panera Bread","Fast Food",c(-74.0748092, 41.0421843)
"Dunkin'","Fast Food",c(-74.5072425, 40.5350064)
