,Rank,MedianHouseholdIncome,Zip,Population,geometry,Longitude,Latitude
556,557,35159,7514,19095,POINT (-74.14451961 40.9261357),-74.14451961,40.9261357
557,558,34727,7104,51475,POINT (-74.16832178 40.76730679),-74.16832178,40.76730679
558,559,34670,8341,1940,POINT (-74.95647534 39.51855624),-74.95647534,39.51855624
559,560,34545,8348,233,POINT (-74.97528353 39.30747694),-74.97528353,39.30747694
560,561,32983,7055,70702,POINT (-74.12811453 40.85749803),-74.12811453,40.85749803
561,562,32662,7107,37842,POINT (-74.179139 40.77074568),-74.179139,40.77074568
562,563,32526,7050,30202,POINT (-74.23487513 40.76824851),-74.23487513,40.76824851
563,564,31995,7524,12911,POINT (-74.15682469 40.93220554),-74.15682469,40.93220554
564,565,31735,8105,29300,POINT (-75.09123654 39.95156096),-75.09123654,39.95156096
565,566,30833,8321,124,POINT (-75.14035786 39.21978065),-75.14035786,39.21978065
566,567,28176,7103,31737,POINT (-74.1943155 40.7366552),-74.1943155,40.7366552
567,568,27898,7505,2369,POINT (-74.17176663 40.9162666),-74.17176663,40.9162666
568,569,27114,8609,14392,POINT (-74.74882375 40.22090934),-74.74882375,40.22090934
569,570,27031,7522,19266,POINT (-74.17849355 40.92503704),-74.17849355,40.92503704
570,571,26936,8401,39521,POINT (-74.43509312 39.36576514),-74.43509312,39.36576514
571,572,26835,7108,22230,POINT (-74.20021131 40.72312211),-74.20021131,40.72312211
572,573,26047,7501,33225,POINT (-74.18534625 40.90832454),-74.18534625,40.90832454
573,574,25350,7102,13222,POINT (-74.17364296 40.73588653),-74.17364296,40.73588653
574,575,23662,8104,24016,POINT (-75.11241463 39.91636386),-75.11241463,39.91636386
575,576,23134,8103,14349,POINT (-75.11361567 39.93577834),-75.11361567,39.93577834
576,577,20954,7114,14434,POINT (-74.16768962 40.70143782),-74.16768962,40.70143782
577,578,18697,8102,7942,POINT (-75.1204396 39.95238575),-75.1204396,39.95238575
578,580,13395,8608,813,POINT (-74.7678475 40.21889442),-74.7678475,40.21889442
